"Timestamp","Please enter the most recent search you performed on DataSearch","Did you find any interesting scholarly data? If not, why?","How successful was this search overall?","How relevant to your query did the search results appear to be?","I think that I would like to use DataSearch frequently","I found DataSearch unnecessarily complex","I thought DataSearch was easy to use","I think that I would need technical support to be able to use DataSearch","I thought the features in DataSearch were well integrated","I thought there was too much inconsistency in DataSearch","I would imagine that most people would learn to use DataSearch quickly","I found DataSearch inefficient to use","I felt confident about using DataSearch","I needed to learn a lot of things before I could get going with DataSearch","How important is a discovery service for scholarly data?","Do you have any other feedback you’d like to share with us? Suggestions for improvement, errors you found, or things that worked well?","How likely is it that you would recommend DataSearch to a friend or a colleague?"
"2017/05/17 9:09:11 am GMT","refugees syria 2016","no, the data on the first results were just pictures. or data on medical conditions of refugees, i was looking for data on number of refugees from syria in 2016","1","2","2","1","4","1","4","5","4","2","4","1","5","improve relevancy","6"
"2017/05/31 5:47:52 pm GMT","housing in Turkey","Yes, I found some interesting dataset on the topic","4","3","4","1","5","1","4","1","5","1","5","1","5","I would like to add some comments about your awesome tool.

1) I noticed that the when I search exact keywords enclosed in quotation marks like ""housing in Turkey"" or ""urban sprawl in Turkey"" in order to get more exact and relevant results, the engine returns nothing. Perhaps, it would be a good option to add advanced search option for exact searches. 
During my search I found 75121 results for ""housing in turkey"". Great return but it  is impossible to filter them according to relevance. I see some relevant results exist between pages of 20 and 30. But a lot of irrelevant query lay in the pages between 1 and 5.
For example Google Scholar offers such a search option, furthermore it also offers search option in the titles of publication thus narrowing down a query to more relevant results. Thus, by this options one can find the relevant data more quickly. For example I scrolled a lot, in order to find more relevant data to my query. But if the above noted options were added it would save a lot of time.

2) The second improvement I think would be adding topics, so that users can find relevant data quickly. For example my search term ""housing in Turkey"" is mostly related to urban planning and public administration topic, but I see a lot of data from non-related topics. So, if your search engine has a choice for narrowing down the results that would be great. For example, EBSCOhost database and Proquest have that option which helps a lot. They give an opportunity to narrow down the results according to the journal the paper is published and according to the field of study. For example in the case of ""housing in Turkey"" I can choose the results published in the journals like ""Habitat International"" or ""Urban Studies"".

3) Third, if your search engine is not going to have login and account options so that users can save queries and search results, it would be more proper if your interface contains save button or something like that so that they can export sources (not the data but metadata as a citation) into Mendeley or save as a spreadsheet and return to them later.

These were my initial comments about your data search tool.
Thank you!","10"
"2017/05/31 6:23:17 pm GMT","protein tyrosine phosphatase b","I found one interesting data set, but most of the results weren't relevant to the search term.  ","2","2","2","2","4","2","3","4","3","3","4","2","4","Search seems to return a ton of results, more than one could conceivable look through.  It takes a few clicks to determine whether a result is actually relevant to one's research.  It would be great if there was some way to sort or see more of the results in one view.  There are many data files that don't make sense without the original article.  ","7"
"2017/06/01 12:42:19 am GMT","electronic commerce, Iot, ICT Adoption","Yes","4","5","5","3","5","2","5","3","4","1","5","3","5","","10"
"2017/06/01 3:52:42 am GMT","2000 to 2017: ""Validated FFQ""","Yes. But I would like the ability to not retrieve certain subsets, i.e. ""No meta Analyses""","3","3","4","4","3","3","2","4","2","3","3","4","5","As mentioned, I would like to be able to eliminate subcategories ""NO xxxxxx"" I would also like the ability to preselect journals. I was not familiar with any of the entities listed in the left side column of the initial screen. Maybe this is my ignorance showing. I expected to see a list of journals or perhaps journal types. Even though I used quotes ""Validated FFQ"", most of the 25 returns had only one or the other of those words. Most curious because without the quotes, there were several thousand ""Finds"". Seems to be some inconsistencies. I would need considerably more experience or perhaps an instruction sheet or guide to use this efficiently. I found the material returned with each ""find"" was very good. Of particular use was the ""Go to the source"" button (Not sure I recalled that name correctly, but I guess you know what I mean.","8"
"2017/06/01 4:40:51 am GMT","NinAri","arsonic","4","4","4","3","4","4","4","3","4","4","4","4","5","hands of training is needed ","7"
"2017/06/01 7:33:56 am GMT","python, machine learning, cancer, india, gender balance, youtube-pl, django","yes i did, specifically django seach pulled a good reseach article .","5","4","4","5","2","1","5","1","5","1","5","1","5","There are too many filters in the left side, it would be great if its hidden, and can show it if the user prefers it. just use a checkbox to hide and show the filters. ","8"
"2017/06/01 9:29:11 am GMT","dicom images data set analysis","Yes. Useful","4","4","5","4","5","1","3","1","5","1","4","3","5","I'd try to perfom videos. I've tried to llok for videos but the publication didn't show me.","8"
"2017/06/01 9:42:09 am GMT","Nanoelectronics","yes","5","4","5","1","5","3","4","1","5","1","5","1","5","it would be great if some of the data can downloaded directly from here, rather going to the source and download.","10"
"2017/06/01 11:00:55 am GMT","job satisfaction","Only one result, and it wasn't about my specific search. ","3","4","5","2","5","1","4","2","4","2","4","1","5","You should give more relevance to the keywords about that specific data, and show a list of the variables in the data frame.","8"
"2017/06/01 12:57:03 pm GMT","I work with Reaxys.   Big competitor is SciFinder.   Have done analysis of Rx/SF recently, so wanted to see how DataSearch went on similar searches:
1. Analysis of lycopene by HPLC
2. Analysis of carbamazepine in wastewater (and also the synthesis of carbamazepine)","Interesting data found.  However I had no idea what searches were done 'behind the scenes' and so could not find easily ways to revise the search (e.g., through addition of synonyms).   Also: 
- there didn't appear to be any post-processing options (by technical terms)
- I had no idea how the answers were sorted (although I assume by some relevance)  ... on a couple of the searches answers even on Page 2 didn't have anything to do with the terms searched","3","3","5","1","4","5","3","3","3","2","2","5","5","These were summed up in answers to the first question in the survey.  As an organic chemist (but I have also been a consultant in chemical information retrieval for over 30 years) the things that really matter to me are substances/properties and reactions.  However topics also are important - but you have to have systematic terms for topics.

It seems that DataSearch searches full text and, in chemistry, this is pretty limited because of the inability to search for structures, reactions, properties,  Besides, if you find a substance (or its property) then it's OK to read about the substance (property) in an article, but what else is known about the substance (or what other substances have such 'properties'?  Result: you need a substance database!   Similar for reactions/properties.

Besides the inability to search effectively in full text for structures, reactions, properties, there are basic problems with searching full text such as:
- addition of synonyms (you don't know what variations authors use) and by far the greatest challenge to search for text in full text databases is to cover synonyms
- related to this is the need for truncation (left- and right-), singulars/plurals, English/American spellings, participles of verbs (present, past, future, past perfect and so forth
- proximity of terms (on STN, in full text search databases you have nW, nA, nS, nP proximity options (n = you can put in number of intervening words; W in order specified, A in either order, S in sentence, P in paragraph.  And of course there is AND (anywhere in the document)
- words (called Stop Words) you don't want to search (or count), such as prepositions
- how to cover Greek letters, subscripts and superscripts and the like. 

On the other hand there were excellent features of DataSearch, particularly the ability to display figures/tables/diagrams (I have been pushing Reaxys to do this for three years!).  The general layout was super, colours were good, tabs were clearly indicated and so forth - meaning working through the mechanics of the workflow was super easy.

I do not know the Elsevier policies on DataSearch/Reaxys/Scopus (and other ELS products) but Reaxys (substances/reactions/properties) has hugely important and unique content, while Scopus has bibliometrics, various document analysis tools and so forth.  It should not be too difficult to make DataSearch interoperable with Reaxys/Scopus.  Having said that I note that the DataSearch engine was designed: ""We are interested in exploring what a search engine for research data would look like (as opposed to a web search engine or a document search engine), and are talking with users and data providers about their needs and interests.""

Sure - search engine for research data is a great idea, and sure - document search engines such as WebofScience/Scopus are well developed, and sure - in many fields of science text-based search engines are all that people need.  ""chip-seq drosophila"" and nearly all the other topics in biology, genetics, geology (although here you need a Geographic thesaurus), clinical medicine are very well searched by text (provided you have proximity operators), but chemistry not only is a (commercial) science in itself, but it also underpins so many other branches of science - so a ""search engine for research data"" simple has to tackle the issues with searching for substances, reactions,  properties ...

Another comment is that, throughout my days with STN, then SciFinder, and now with Reaxys I am constantly dismayed by the lack of interest by scientists in learning anything about searching and search techniques.  Why should scientists, for whom the two up-front characteristics are curiosity then skepticism, treat information retrieval as a dumb/blackbox?   I'd need to think about it (in relation to DataSearch), but I am sure there is some mid way, for developers of search engines, between treating scientists as dumb fools and yet requiring them to invest even just a little time in information retrieval. ","7"
"2017/06/01 1:08:05 pm GMT","Dammers","Yes.","2","2","2","4","3","1","2","1","2","4","2","3","5","The The 'tutorial' (I can't find it now by clicking back because the number of clicks is so many, and it is no longer visible otherwise) was inconsistent with itself;  it was supposed to demonstrate a search about cosmic rays or some such but was about something totally different.  And it was only one stp;  a simple search with practically no explanation.  There was nothing i could see explaining operators (Boolean,  quotation marks, asterisks, etc.).  I couldn't find anything about establishing search fields (e.g., Au, TI, KW, word in full text).","2"
"2017/06/01 1:22:20 pm GMT","On Research Data Management and related topics","Not very much. Relevance of results doesn't seem to very good. Mostly refers to figures and images in research articles which isn't really ""data"" in our understanding.","2","2","2","2","4","1","4","4","4","5","3","3","4","The Data Sources are the most interesting and useful feature. If I filter for example to Dryad I know I will get datasets (and not just figures and images). Adding more useful data repository seems necessary (e.g. institutional data repositories).","4"
"2017/06/01 1:25:23 pm GMT","frailty","Yes, I did. But all the information and the data provided me were already in PubMed.","4","4","4","4","3","2","2","2","2","3","3","2","5","Slides didn't work. There should be conclusions of the articles not just the description.","7"
"2017/06/01 3:30:37 pm GMT","completed 6/1/07, 11:25AM EST","yes","4","3","4","1","5","1","5","1","5","1","5","1","4","My major issue with this search engine is that it interpreted search terms broadly and offered items that were less relevant or off-point. My suggestion for improvement is to tighten the way search criteria are used; for example, I tried to narrow my search by putting quotation marks around a search that used multiple words and this was not successful.","10"
"2017/06/01 3:54:19 pm GMT","graphene quantum dots","I did. However, I there were several missing pieces

Images look blurry - probably due to scaling
What is ""unknown"" - it looks bad
I see video mentioned - But if I click it does not play
Clicking on Supplementary data does not show text","4","4","3","3","4","1","4","3","4","3","3","1","4","Like I mentioned in a previous comment. I found a few issues in my search queries.

Images looked blurry - probably due to scaling
What is ""unknown"" - it looks bad. I think the term is simply confusing
I see video mentioned - But if I click it does not play. 
Clicking on Supplementary data does not show text. It showed weird ""MacOS.doc"" etc.","7"
